name;company;technology;job;location;salary_low;salary_high;salary_currency;salary_avg;is_senior
principal data solutions architect;N-iX;;data engineer;Zdalnie;30459;40459;PLN;35459.0;0
data architect;Impel S.A.;;data engineer;Wrocław;25000;25000;PLN;25000.0;0
junior python developer - data pipeline specialist;juucy;;data engineer;Zdalnie;12000;12000;PLN;12000.0;0
data scientist - mid;Diverse CG;;data scientist;Warszawa;20160;21840;PLN;21000.0;0
senior/lead data scientist;Link Group;;data scientist;Warszawa;20000;30000;PLN;25000.0;1
senior data scientist;NIX Tech Kft.;;data scientist;Budapest;11685;15190;PLN;13437.5;1
senior data scientist;Link Group;;data scientist;Warszawa;20000;30000;PLN;25000.0;1
senior data scientist;SEB (Skandinaviska Enskilda Banken);;data scientist;Warszawa;22000;27000;PLN;24500.0;1
remote mlops engineer / data scientist;Addepto;;data scientist;Zdalnie;12600;20160;PLN;16380.0;0
remote data scientist;Addepto;;data scientist;Zdalnie;12600;18480;PLN;15540.0;0
data scientist;Lingaro;;data scientist;Zdalnie;21840;25200;PLN;23520.0;0
data scientist;ASTEK Polska;;data scientist;Trójmiasto;12600;23520;PLN;18060.0;0
senior specialist - data scientist;ING BANK ŚLĄSKI SPÓŁKA AKCYJNA;;data scientist;Warszawa;9000;18000;PLN;13500.0;1
senior data scientist;in4ge sp. z o.o.;;data scientist;Zdalnie;20000;28000;PLN;24000.0;1
senior data scientist;Focal Systems;;data scientist;Zdalnie;25000;35000;PLN;30000.0;1
senior data scientist;SKY ENGINE AI;;data scientist;Warszawa;20000;28000;PLN;24000.0;1
data scientist (ai);Addepto;;data scientist;Zdalnie;6000;12000;PLN;9000.0;0
senior python developer (ai/ml/mlops);Link Group;;data scientist;Kraków;23000;28000;PLN;25500.0;1
remote ml ops engineer - mid;Diverse CG;;data scientist;Zdalnie;17640;21000;PLN;19320.0;0
cloud data engineer;Link Group;;data scientist;Warszawa;30000;35000;PLN;32500.0;0
senior data engineer;Nordcloud;;data scientist;Zdalnie;25000;30000;PLN;27500.0;1
senior data engineer (databricks);Altimetrik Poland;;data scientist;Zdalnie;28000;31000;PLN;29500.0;1
